consumer_id,repository,path,legacy_api,criticality,owner,status,last_checked,evidence,blocker,rollback
national-pipeline,AlertaDengue/AlertaDengueAnalise,main/main_BR.R,"pipe_infodengue;tabela_historico",critical,TBD,discovered,2026-09-05,GitHub code search and source inspection,"Needs maintainer ownership; disposable PostgreSQL validation; output comparison","Pin last approved AlertTools release and restore the consumer commit"
national-publisher,AlertaDengue/AlertaDengueAnalise,config/publicar_alerta.R,"tabela_historico;write_alerta",critical,TBD,discovered,2026-09-05,GitHub code search,"Must migrate after national pipeline contract is approved","Keep generated SQL and run legacy publisher with pinned package"
analysis-container,AlertaDengue/ADAnalise-container,main.R,"pipe_infodengue;tabela_historico;write_alerta",critical,TBD,discovered,2026-09-05,GitHub code search,"Derived deployment must follow the national pipeline migration","Redeploy the previous immutable container image"
migration-r-client,AlertaDengue/AlertaDengue-migration,containers/r-client/scripts/pipeline.R,pipe_infodengue,high,TBD,discovered,2026-09-05,GitHub code search,"Purpose and production status require maintainer confirmation","Restore previous script and package lock"
intramunicipal-package,AlertaDengue/infodengue_intramunicipal,R/calcular_alerta.R;R/calcular_alerta_novo.R;R/calcular_alerta_helpers_novo.R,fouralert,high,TBD,discovered,2026-09-05,GitHub code search,"Requires package tests and scientific output comparison","Revert consumer patch and pin prior AlertTools version"
intramunicipal-reports,AlertaDengue/intramunicipal,funcoes_submunicipal.R;df/funcoes_submunicipal.R,fouralert,high,TBD,discovered,2026-09-05,GitHub code search,"Requires representative report render and alert-level comparison","Revert helpers and render with prior package lock"
municipal-bulletins,AlertaDengue/boletins,gera_boletim_municipio.R;dados/atualiza-parametros-boletim.R,"getCases;read.parameters",high,TBD,discovered,2026-09-05,GitHub code search,"Needs owner and a disposable database fixture","Revert scripts and restore prior package lock"
biweekly-bulletin,AlertaDengue/BoletimQuinzenal,scripts/mapa_predicao.R,tabela_historico,medium,TBD,discovered,2026-09-05,GitHub code search,"Needs representative report snapshot","Revert report script and pin prior AlertTools version"
analysis-tutorials,AlertaDengue/AlertaDengueAnalise,tutoriais/;parameters/;report/,"getCases;adjustIncidence;fouralert;read.parameters",low,TBD,discovered,2026-09-05,GitHub code search,"Migrate after operational consumers to avoid documenting an unapproved flow","Keep archived tutorial links for the matching package version"
rt-research,AlertaDengue/WP-estimating-Rt,Rt_Rio.rmd;Rt_Foz.rmd,getCases,low,TBD,discovered,2026-09-05,GitHub code search,"Confirm whether repository is maintained","Archive or pin the historical package version"
